name,srid,active,hof,positions,start,end,letter
Al Bedner,BednAl20,False,False,G-T,1924,1926,B
Tom Bedore,BedoTo20,False,False,G-LB,1944,1944,B
Hal Bedsole,BedsHa00,False,False,TE,1964,1966,B
Don Beebe,BeebDo00,False,False,WR,1989,1997,B
Keith Beebe,BeebKe20,False,False,B,1944,1944,B
Earl Beecham,BeecEa20,False,False,RB,1987,1987,B
Willie Beecher,beechwil01,False,False,K,1987,1987,B
Frank Beede,BeedFr20,False,False,G-C,1996,2000,B
Bruce Beekley,BeekBr20,False,False,LB,1980,1980,B
Ferris Beekley,BeekFe20,False,False,B-G,1921,1921,B
Josh Beekman,BeekJo20,False,False,C-G,2007,2009,B
Bob Beemer,BeemBo20,False,False,DE,1987,1987,B
Tom Beer,BeerTo00,False,False,TE-G,1967,1972,B
Tom Beer,BeerTo20,False,False,LB-RB,1994,1996,B
Terry Beeson,BeesTe20,False,False,LB,1977,1982,B
Charlie Behan,BehaCh20,False,False,E,1942,1942,B
Bull Behman,BehmBu20,False,False,T-G,1924,1931,B
Mark Behning,BehnMa20,False,False,T,1986,1986,B
Dave Behrman,BehrDa00,False,False,C-T,1963,1967,B
Tom Beier,BeieTo20,False,False,DB,1967,1969,B
Larry Beil,BeilLa20,False,False,T,1948,1948,B
Ed Beinor,BeinEd20,False,False,T-DE,1940,1942,B
Jim Beirne,BeirJi00,False,False,WR-TE,1968,1976,B
Monty Beisel,BeisMo20,False,False,LB,2001,2009,B
Randy Beisler,BeisRa20,False,False,G-DT-DE-T,1966,1975,B
Bill Belanich,BelaBi20,False,False,T-E,1927,1929,B
Jovan Belcher,BelcJo00,False,False,LB,2009,2012,B
Kevin Belcher,BelcKe20,False,False,C-G,1983,1984,B
Kevin Belcher,BelcKe21,False,False,T,1985,1987,B
Bunny Belden,BeldBu20,False,False,B,1927,1931,B
Les Belding,BeldLe20,False,False,E-B,1925,1925,B
Steve Belichick,BeliSt20,False,False,FB,1941,1941,B
Chuck Belin,BeliCh20,False,False,G,1994,1996,B
Bill Belk,BelkBi20,False,False,DE-DT,1968,1974,B
Rocky Belk,BelkRo20,False,False,WR,1983,1983,B
Veno Belk,BelkVe20,False,False,TE,1987,1987,B
Albert Bell,BellAl20,False,False,WR,1988,1988,B
Anthony Bell,BellAn20,False,False,LB,1986,1992,B
Beau Bell,BellBe99,False,False,LB,2008,2008,B
Bill Bell,BellBi20,False,False,K,1971,1973,B
Billy Bell,BellBi21,False,False,DB,1989,1991,B
Blake Bell,BellBl00,True,False,TE,2015,2017,B
Bob Bell,BellBo20,False,False,DT-DE,1971,1978,B
Bobby Bell,BellBo00,False,True,LB-DE,1963,1974,B
Bobby Bell,BellBo21,False,False,LB,1984,1987,B
Brandon Bell,BellBr01,True,False,OLB,2017,2017,B
Byron Bell,BellBy00,True,False,T,2011,2017,B
Carlos Bell,BellCa20,False,False,TE,1971,1971,B
Coleman Bell,BellCo20,False,False,TE,1995,1995,B
Demetress Bell,BellDe20,False,False,T,2009,2012,B
Ed Bell,BellEd20,False,False,G-T,1946,1949,B
Eddie Bell,BellEd21,False,False,DB-LB,1955,1960,B
Eddie Bell,BellEd00,False,False,WR,1970,1976,B
Gordon Bell,BellGo00,False,False,RB,1976,1978,B
Greg Bell,BellGr00,False,False,RB,1984,1990,B
Henry Bell,BellHe00,False,False,HB,1960,1960,B
Jacob Bell,BellJa20,False,False,G,2004,2011,B
Jason Bell,BellJa21,False,False,DB,2001,2006,B
Jerry Bell,BellJe00,False,False,TE,1982,1986,B
Joe Bell,BellJo20,False,False,DE,1979,1979,B
Joique Bell,BellJo01,False,False,RB,2010,2016,B
Josh Bell,BellJo21,False,False,DB,2008,2009,B
Kahlil Bell,BellKa00,False,False,RB,2009,2013,B
Kay Bell,BellKa20,False,False,T-G,1937,1942,B
Ken Bell,BellKe01,False,False,RB-WR,1986,1989,B
